coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
DANIELI BROLO MARTINS,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04910-2020,01/03/2020,01/12/2023,Ciências Agrárias,Medicina Veterinária,Patologia Animal,PROTEINOGRAMA DE FRANGOS DE CORTE ALIMENTADOS COM DIETAS CONTENDO MICOTOXINAS E ADSORVENTE
MARCELO SILVA FREITAS,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04925-2020,01/12/2020,30/12/2023,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação,Novos Protocolos para Aumentar a Programabilidade e Flexibilidade do Plano de Dados de Redes Definidas por Software
ANDRE CARLOS SILVA,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04933-2020,09/12/2020,31/12/2023,Engenharias,Engenharia de Minas,Tratamento de Minérios,"Aplicação do Sorgo (farinha, amido e misturas) na flotação de minerais"
CAIO MARCIO DE OLIVEIRA MONTEIRO,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO,PI04949-2020,01/10/2020,30/08/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,Comparação da eficácia de formulação carrapaticida aplicada em diferentes sistemas de pulverização para controle de Rhipicephalus microplus
PATRICIA TAVARES DOS SANTOS,FACULDADE DE ENFERMAGEM,AGUARDANDO CEP/CEUA/CBIO,PI04982-2021,01/02/2021,31/12/2023,Ciências da Saúde,Saúde Coletiva,,Avaliação do impacto da formação dos profissionais de saúde no estado de Goiás: um enfoque na integralidade.
SAULO DE OLIVEIRA PINTO COELHO,FACULDADE DE DIREITO,PRORROGAÇÃO PENDENTE PRPI,PI05011-2021,01/03/2021,28/02/2023,Ciências Sociais Aplicadas,Direito,Direito Público,Desenvolvimento da articulação nacional entre poderes e esferas de governo para maior efetividade das políticas públicas de educação no Brasil: construindo subsídios para a experiência de implantação dialogal do GAEPE Brasil a partir de pesquisa-ação
PAULO CESAR TIMOSSI,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0503-2015,02/03/2015,31/10/2023,Ciências Agrárias,Agronomia,Fitotecnia,MANEJO INTEGRADO DE PLANTAS DANINHAS EM SISTEMAS DE PRODUÇÃO AGRÍCOLA
MARINA PACHECO MIGUEL,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05053-2020,01/03/2020,31/12/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"CARACTERÍSTICAS CLÍNICAS, CITOMORFOLÓGICAS E MICROBIOLÓGICAS DAS CERATITES ULCERATIVAS EM CÃES NA REGIÃO DE GOIÂNIA, GOIÁS"
REJANE FARIA RIBEIRO ROTTA,SECRETARIA DE RELAÇÕES INTERNACIONAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0506-2017,27/03/2017,31/12/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,Validação de um modelo informacional para uso na atenção primária com vistas ao registro eletrônico multiprofissional: pesquisa-ação associada ao método Delphi
MARIZE CAMPOS VALADARES,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0507-2017,28/03/2017,31/12/2023,Ciências da Saúde,Farmácia,Análise Toxicológica,Modelos organotípicos 3D de córnea humana para a investigação de toxicidade ocular de diferentes toxicantes
FABIANA RIBEIRO SANTANA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05077-2021,01/01/2021,31/12/2023,Ciências da Saúde,Saúde Coletiva,Saúde Pública,DETERMINANTES SOCIAIS DA SAÚDE E QUALIDADE DE VIDA DE COMUNIDADES REMANESCENTES DE QUILOMBOS DO ESTADO DE GOIÁS: UMA PESQUISA-AÇÃO
MARCO AUGUSTO MACHADO SILVA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05078-2020,19/03/2020,28/02/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,PIOMETRA CANINA: COMPARAÇÃO DAS ABORDAGENS CIRÚRGICAS MINIMAMENTE INVASIVA POR LESS E CONVENCIONAL
CARLOS ANTONIO RIBEIRO DUARTE,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05081-2021,01/03/2021,31/12/2023,Engenharias,Engenharia de Produção,Engenharia do Produto,DESENVOLVIMENTO DE UM APLICATIVO COLABORATIVO PARA COMPARTILHAMENTO DE PREÇOS DE PRODUTOS DE SUPERMERCADOS UTILIZANDO FLUTTER E DART
CARLOS ANTONIO RIBEIRO DUARTE,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05082-2021,01/03/2021,31/12/2023,Engenharias,Engenharia de Produção,Engenharia do Produto,DESENVOLVIMENTO DE UM APLICATIVO PARA FACILITAR O ACESSO ÀS INFORMAÇÕES INSTITUCIONAIS  E MELHORAR A SEGURANÇA DA UNIVERSIDADE FEDERAL DE CATALÃO
ANA MARIA ALONSO KRISCHKE,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05091-2021,16/03/2021,20/12/2023,"Lingüística, Letras e Artes",Artes,Dança,"PEDAGOGIROS: transfigurando sentidos, corpos e territórios em dança"
JOFFRE REZENDE FILHO,FACULDADE DE MEDICINA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05092-2021,01/01/2021,31/12/2023,Ciências da Saúde,Medicina,Clínica Médica,Avaliação das  comorbidades em pacientes com megaesôfago chagásico 
HELIO GALDINO JUNIOR,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05106-2021,03/03/2021,15/12/2023,Ciências da Saúde,Enfermagem,,ANÁLISE DA ASSISTÊNCIA À SAÚDE DA POPULAÇÃO LGBTQ+ NO QUE TANGE DIREITOS ESTABELECIDOS NA POLÍTICA NACIONAL DE SAÚDE INTEGRAL DESSA POPULAÇÃO E A FORMAÇÃO PROFISSIONAL.
MONICA RODRIGUES FERREIRA MACHADO,UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05136-2020,01/01/2020,31/12/2023,Ciências Biológicas,Fisiologia,Fisiologia Comparada,Projeto Piracanjuba Livre  Paranaíba vivo 
MARA RUBIA NUNES CELES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05142-2019,01/09/2019,31/05/2023,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica,Efeitos da curcumina sobre a expressão dos componentes da via de sinalização mTOR e na polarização de macrófagos na sepse experimental.
RONALDO MARTINS DA COSTA,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05143-2019,01/08/2019,05/09/2023,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação,DEEPCARDIO VET - ANÁLISE DE BATIMENTOS CARDÍACOS DE CÃES PARA DETECÇÃO DE DOENÇAS CARDIOVASCULARES UTILIZANDO REDES NEURAIS PROFUNDAS
WAGNER GOUVEA DOS SANTOS,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05145-2021,04/01/2021,31/12/2023,Ciências Biológicas,Genética,Genética Humana e Médica,Polimorfismos nos genes da enzima conversora de angiotensina 2 (ECA2) e TMPRSS2 e susceptibilidade a COVID-19
CRISNICAW VERISSIMO,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05147-2019,03/03/2019,03/03/2023,Ciências da Saúde,Odontologia,Materiais Odontológicos,INFLUÊNCIA DO VOLUME PULPAR DO INCISIVO CENTRAL NAS TENSÕES GERADAS DURANTE IMPACTO: ANÁLISE POR ELEMENTOS FINITOS 3D
CAMILA CARDOSO CAIXETA,FACULDADE DE ENFERMAGEM,PRORROGAÇÃO PENDENTE PRPI,PI05149-2021,17/03/2021,30/11/2023,Ciências da Saúde,Enfermagem,Enfermagem Psiquiátrica,GESTÃO AUTÔNOMA DA MEDICAÇÃO PARA ESTUDANTES DE GRADUAÇÃO EM ENFERMAGEM
MARIELA CORDEIRO DE CASTRO,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05159-2021,01/02/2021,31/12/2023,Ciências Biológicas,Zoologia,Morfologia dos Grupos Recentes,Canídeos brasileiros em um mundo antropizado: partição de nicho a partir da análise de elementos finitos
EDER MENDES DE PAULA,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05181-2021,01/07/2021,31/12/2023,Ciências Humanas,História,História das Ciências,Como Educar no Novo Homem? Perspectivas da Revista Educação e Saúde (1937-1962)
EDER MENDES DE PAULA,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05182-2021,01/07/2021,31/12/2023,Ciências Humanas,História,História das Ciências,Febrônio Índio do Brasil: Narrativas da Loucura
RODRIGO MELLO GOMES,INSTITUTO DE CIENCIAS BIOLOGICAS,PRORROGAÇÃO PENDENTE PRPI,PI05184-2021,24/03/2021,30/11/2023,Ciências Biológicas,Fisiologia,Fisiologia de Órgãos e Sistemas,ALTERAÇÕES CARDIOMETABÓLICAS EM RATOS SUBMETIDOS AO DESMAME PRECOCE FARMACOLÓGICO INDUZIDO POR BROMOCRIPTINA
TANIA APARECIDA PINTO DE CASTRO FERREIRA,FACULDADE DE NUTRIÇÃO,AGUARDANDO PRORROGAÇÃO COORD. PESQUISA,PI05190-2020,18/03/2020,31/12/2023,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,FORTALECIMENTO DO BANCO DE ALIMENTOS COMO ESTRATÉGIA CONTRA O DESPERDÍCIO E INSEGURANÇA ALIMENTAR E NUTRICIONAL EM COMUNIDADES EM SITUAÇÃO DE VULNERABILIDADE SOCIAL
VICTOR REZENDE MOREIRA COUTO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05191-2021,01/03/2021,31/08/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Utilização de probiótico (Bacillus toyonensis) na suplementação de bovinos F1 Angus × Nelore da desmama ao abate
LORENA RAMOS FREITAS DE SOUSA,UNID. ACAD. ESP/QUIMICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05206-2021,26/03/2021,30/04/2023,Ciências Exatas e da Terra,Química,Química Orgânica,"Descoberta de inibidores de Plasmodium falciparum a partir de plantas do Cerrado como candidatos a compostos líderes para a malária: Estudos integrados de cromatografia de ultra eficiência, espectroscopia e ensaios biológicos"
TANIA MAIA BARCELOS,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05218-2021,05/04/2021,31/12/2023,Ciências Humanas,Psicologia,Psicologia Social,Produção de subjetividade e Cultura
VIRGINIA OLIVEIRA CHAGAS,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05224-2021,05/07/2021,05/07/2023,Ciências da Saúde,Saúde Coletiva,Saúde Pública,FATORES ASSOCIADOS À ESPIRITUALIDADE E RELIGIOSIDADE EM IDOSOS DA COMUNIDADE: REVISÃO INTEGRATIVA DE LITERATURA
HUMBERTO JOSE LONGO,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05233-2021,01/01/2021,31/12/2023,Engenharias,Engenharia de Produção,Pesquisa Operacional,"Desenvolvimento de algoritmo branch-and-price para o MKP, com uso de GPUs para resolver o subproblema de pricing"
ANDRESSA RODRIGUES LOPES,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05236-2021,01/05/2021,31/12/2023,Ciências da Saúde,Saúde Coletiva,,"ANÁLISE FÍSICO-QUÍMICA, MICROBIOLÓGICA, PARASITOLÓGICA E MOLECULAR DAS ÁGUAS DAS DEPENDÊNCIAS DA REGIONAL DE JATAÍ DE ABASTECIMENTO "
CAMILO VLADIMIR DE LIMA AMARAL,FACULDADE DE ARTES VISUAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05240-2021,25/02/2021,29/12/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Projeto de Arquitetura e Urbanismo,"A Produção do Projeto: Ferramentas, sociologia e pesquisa crítica em processos de arquitetura e urbanismo"
LUCILENE ARILHO RIBEIRO BICUDO,INSTITUTO DE CIENCIAS BIOLOGICAS,AGUARDANDO CEP/CEUA/CBIO,PI05252-2021,19/03/2021,31/01/2023,Ciências Biológicas,Genética,Genética Humana e Médica,Perfil genético do sistema histo-sanguineo do hospedeiro e resposta a infecção pelo SARS-CoV-2
JONATHAS XAVIER PEREIRA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05261-2019,01/05/2019,31/12/2023,Ciências Biológicas,Biologia Geral,,O Papel de Glicosaminoglicanos no Melanoma modulado por INF-&#947;
MARCOS WAGNER DE SOUZA RIBEIRO,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05265-2021,01/06/2021,01/09/2023,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação,O uso de Inteligência Artificial na construção de ambientes virtuais com NPC's engajados
FLAVIO GOMES DE MORAES,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05267-2021,01/03/2021,31/12/2023,Ciências Exatas e da Terra,Matemática,,EDUCAÇÃO FINANCEIRA
ROOSEVELT ALVES DA SILVA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05271-2021,15/04/2021,14/04/2023,Ciências Biológicas,Biofísica,,PROSPECÇÃO DE NOVOS INIBIDORES DE INTEGRINA ALFA4_BETA1 COMO POTENCIAL TRATAMENTO DA ESCLEROSE MÚLTIPLA
MARCOS WAGNER DE SOUZA RIBEIRO,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05275-2021,01/06/2021,01/09/2023,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação,O uso de Mineração de Dados e Big Data na implantação de um sistema de BI em uma Universidade Federal
EDER MENDES DE PAULA,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05276-2021,01/07/2021,31/12/2023,Ciências Humanas,História,História das Ciências,A Loucura em Imagens: Registro de Fotos do Manicômio Adauto Botelho em Goiânia
MAURICIO JOSE ALVES BOLZAM,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05283-2021,01/04/2021,31/03/2023,Ciências Exatas e da Terra,Geociências,Geofísica,Análise Estatística da Climatologia das Bolhas Ionosféricas Sob o Centro-Oeste Brasileiro
ALEXANDRE ANTONIO ALONSO,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0529-2014,22/08/2014,31/12/2023,Ciências Biológicas,Botânica,Morfologia Vegetal,"ANATOMIA, HISTOQUÍMICA, E FITOQUÍMICA DE ÓRGÃOS VEGETATIVOS DE ESPÉCIES DE CROTON L., MANIHOT MILL. E SAPIUM JACQ. (EUPHORBIACEAE) DE SAVANA DE GOIÁS"
EWERSON JACOBINI LOTTE,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05294-2021,19/04/2021,31/08/2023,Ciências da Saúde,Medicina,Clínica Médica,"PERCEPÇÕES E ATITUDES DOS PROFISSIONAIS DA SAÚDE SOBRE ESPIRITUALIDADE, FONTES GERADORAS DE ESTRESSE E PACIENTES COM EXPERIÊNCIA QUASE MORTE: REVISÃO DA LITERATURA"
CARLA SILVA SIQUEIRA,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05301-2021,22/02/2021,31/08/2023,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica,"ANÁLISE RETROSPECTIVA DOS CASOS RECEBIDOS POR UM LABORATÓRIO DE ANATOMIA PATOLÓGICA NO MUNICÍPIO DE JATAÍ, GOIÁS "
ARIDIANE ALVES RIBEIRO,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05303-2021,18/04/2021,31/12/2023,Ciências da Saúde,Saúde Coletiva,,"AGRONEGÓCIO, PANDEMIA E DESIGUALDADES EM SAÚDE"
RENATA MACHADO DE ASSIS,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05305-2021,01/05/2021,30/09/2023,Ciências Humanas,Educação,,CARACTERÍSTICAS E INTERFERÊNCIAS DE EVENTOS FORMATIVOS PARA A COMUNIDADE ACADÊMICA E EXTERNA
NADJA SUSANA MOGYCA LEANDRO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05313-2020,02/03/2020,31/07/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Avaliação do butirato de sódio em frangos de corte
MARIA CLORINDA SOARES FIORAVANTI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05339-2020,09/03/2020,31/12/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"Perfil clínico e laboratorial de cães portadores de tumor de mama, mastocitoma e tumor venéreo transmissível, submedos à quimioterapia"
PRISCILLA DE ANDRADE SILVA XIMENES,UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05347-2021,01/08/2021,31/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,O DESENVOLVIMENTO PROFISSIONAL DE PROFESSORES DA EDUCAÇÃO INFANTIL A PARTIR DE UMA EXPERIÊNCIA COLABORATIVA
JAIRO MENEZES E SOUZA,UNID. ACAD. ESP/MATEMATICA E TECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05349-2021,01/03/2021,31/12/2023,Ciências Exatas e da Terra,Matemática,Álgebra,"Curvas Algébricas, aspectos teóricos e computacionais."
MARIA JOSE RODRIGUES,UAE REJ ESTUDOS GEOGRÁFICOS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05350-2019,25/03/2019,31/12/2023,Ciências Humanas,Geografia,Geografia Humana,REGIONALIZAÇÃO DA SAÚDE: ANÁLISE DO PROCESSO DE REGIONALIZAÇÃO E CENTRALIDADE DAS CIDADES SEDE EM GOIÁS  
EUGENIO GONCALVES DE ARAUJO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05351-2021,27/04/2021,30/04/2023,Ciências Agrárias,Medicina Veterinária,Patologia Animal,EXTRATÉGIA TERAPÊUTICA E AVALIAÇÃO DOS MECANISMOS CELULARES E MOLECULARES ALTERADOS PELA AÇÃO DE EXTRATOS DE PLANTAS DO CERRADO E COMPOSTOS ISOLADOS  NAS CÉLULAS D-17 E HUVEC IN VITRO
VIRGILIO MOREIRA RORIZ,FACULDADE DE ODONTOLOGIA,AGUARDANDO CEP/CEUA/CBIO,PI05353-2021,30/08/2021,29/09/2023,Ciências da Saúde,Odontologia,,DERMATOGLIFIA INFORMATIZADA VALIDADA COMO MARCADOR PARA PERIODONTITE
FABYOLA BARROS DE CARVALHO,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05355-2021,15/06/2021,31/12/2023,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,VITAMINAS IN OVO PODEM AUXILIAR NA RESISTÊNCIA DO PINTO DE CORTE AO ESTRESSE DO JEJUM PÓS-ECLOSÃO?
ANDREA FREIRE DE LUCENA,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E CIÊNCIAS ECONÔMICAS",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05359-2021,29/04/2021,31/12/2023,Ciências Sociais Aplicadas,Economia,Economia Internacional,"Avante Goiás: inteligência comercial, estratégia proativa e cadeias produtivas inovadoras"
CRISTINA SILVA DE OLIVEIRA,UAE REJ ESTUDOS GEOGRÁFICOS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05363-2021,01/05/2021,30/04/2023,Ciências Exatas e da Terra,Geociências,Geografia Física,MAPEAMENTO GEOMORFOLÓGICO DO MUNICÍPIO DE JATAÍ (GO) COMO SUBSÍDIO PARA O ZONEAMENTO AMBIENTAL
GUSTAVO HENRIQUE MARQUES ARAUJO,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05367-2021,01/06/2021,31/08/2023,Ciências Agrárias,Zootecnia,Produção Animal,VIABILIDADE DA IMPLEMENTAÇÃO DO SETOR DE EQUIDEOCULTURA NA FAZENDA ESCOLA DA UFJ
SUMBAL SABA,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05379-2021,30/04/2021,30/04/2023,Ciências Exatas e da Terra,Química,Química Orgânica,Catalyst- and metal-free C(sp2)-H bond selenylation of (N-hetero)-arenes using diselenides and trichloroisocyanuric acid                                    
CLARISSA DAMIANI,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05388-2021,01/05/2021,31/12/2023,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,CARACTERIZAÇÃO QUÍMICA E PERFIL DE FENÓLICOS DE MIRTILOS (rabbiteye ) ORGÂNICOS CULTIVADOS NO BRASIL 
TEREZA CRISTINA PIRES FAVARO,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05395-2021,04/05/2021,30/06/2023,Ciências Sociais Aplicadas,Serviço Social,,"EDUCAÇÃO SUPERIOR EM TEMPOS DE ENSINO REMOTO EMERGENCIAL E O AVANÇO DO PROJETO NEOLIBERAL, 2020-2022"
RAIMUNDA DELFINO DOS SANTOS AGUIAR,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05398-2021,15/01/2021,15/12/2023,"Lingüística, Letras e Artes",Lingüística,Teoria e Análise Lingüística,"Projeto de pesquisa EDUCAÇÃO DIGITAL: Políticas, Leitura, Produção Textual, Identidade e Subjetividade com Trabalhadoras/es Terceirizadas/os da UFG "
BRUNNO SANTOS DE FREITAS SILVA,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05402-2021,02/08/2021,20/12/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,Expressão dos marcadores de células-tronco CD105 e CD44 nos diferentes estágios de progressão maligna das leucoplasias orais: Um estudo imuno-histoquímico e clínico-patológico
AGUEDA MARIA RUIZ ZIMMER CAVALCANTE,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05408-2020,01/07/2020,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Doenças Contagiosas,VALIDAÇÃO CLÍNICA DO RESULTADO NOC RESPOSTA À VENTILAÇÃO MECÂNICA: ADULTO
DENISE SISTEROLLI DINIZ,FACULDADE DE MEDICINA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05412-2021,01/04/2021,30/12/2023,Ciências da Saúde,Medicina,Clínica Médica,EFEITOS AGUDOS E CRÔNICOS DA VACINAÇÃO DE COVID-19 EM PACIENTES COM DOENÇAS DESMIELINIZANTES: UM ESTUDO PROSPECTIVO
NYUARA ARAUJO DA SILVA MESQUITA,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05418-2021,12/02/2021,30/10/2023,Ciências Exatas e da Terra,Química,,O acidente radiológico de Goiânia e seus desdobramentos nos currículos da licenciatura em Química em Goiás: uma leitura freireana
LETICIA SEGURADO CORTES,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,PRORROGAÇÃO PENDENTE COORD. PESQUISA,PI05424-2021,01/02/2021,29/09/2023,Ciências Sociais Aplicadas,Comunicação,Relações Públicas e Propaganda,"A relação entre criatividade, eficiência da comunicação, tecnologia e dados no mercado de agências publicitárias goianienses"
MARIA LUCIA GAMBARINI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05438-2020,02/03/2020,30/06/2023,Ciências Agrárias,Zootecnia,Produção Animal,ESTRESSE TÉRMICO E TAXA DE PRENHEZ EM GIROLANDO SUBMETIDAS AO PROTOCOLO DE INSEMINAÇÃO ARTIFICIAL EM TEMPO FIXO 
PAULO HENRIQUE JORGE DA CUNHA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,AGUARDANDO CEP/CEUA/CBIO,PI05449-2021,12/05/2021,30/11/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"Infecção experimental em bovinos das raças Curraleiro Pé-Duro, Pantaneiro, Nelore e Jersey por Trypanosoma vivax"
LAURA VILELA RODRIGUES REZENDE,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05451-2021,24/03/2021,24/03/2023,Ciências Sociais Aplicadas,Ciência da Informação,,DESAFIOS DA CULTURA DIGITAL: A DINÂMICA DA CONSTRUÇÃO DE SABERES NO COMBATE ÀDESINFORMAÇÃO
MARIANA PIRES FRANCO,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05455-2021,01/06/2021,30/06/2023,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Tecnologia e Utilização de Produtos Florestais,QUALIDADE DE BIOCOMBUSTÍVEIS SÓLIDOS DA PODA DE ÁRVORES DE DIPTERYX ALATA
MARCO AUGUSTO MACHADO SILVA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI05464-2021,10/05/2021,30/08/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,REANIMAÇÃO VOLÊMICA COM SOLUÇÃO DE NACL A 0.9% OU RINGER COM LACTATO EM CADELAS COM PIOMETRA E SEPSE: ASPECTOS CLÍNICOS E LABORATORIAIS
